CUSTODY_TYPE_AT_RECALL,custodytype,custodytype2,custodytype3,Notes
Automatic,Life,b. indeterminate,Life,
CFL,Life,b. indeterminate,Life,
CFL (murder) (S93),Life,b. indeterminate,Life,
CFL (non-murder) (S94),Life,b. indeterminate,Life,
DFL,Life,b. indeterminate,Life,
Discretionary,Life,b. indeterminate,Life,
Discretionary (Tariff Expired),Life,b. indeterminate,Life,
HMP [*],Life,b. indeterminate,Life,
Lifer Migration,Life,b. indeterminate,Life,
Mandatory,Life,b. indeterminate,Life,
Mandatory (MLP),Life,b. indeterminate,Life,
Whole life,Life,b. indeterminate,Life,
DCR (<15),Determinate,a. determinate,Determinate,
DCR (>15),Determinate,a. determinate,Determinate,
DCR (Deportation),Determinate,a. determinate,Determinate,
DCR (Juvenile),Determinate,a. determinate,Determinate,
Determinate,Determinate,a. determinate,Determinate,
ESP,Determinate,a. determinate,Determinate,
DPP,IPP,b. indeterminate,IPP,
IPP,IPP,b. indeterminate,IPP,
zzzDCR (>15),Determinate,a. determinate,Determinate,
DCR,Determinate,a. determinate,Determinate,
Life sentence for 2nd listed offence,Life,b. indeterminate,Life,
EDS,Determinate,a. determinate,EDS,
Restricted Patient (Expiry Date),IPP,b. indeterminate,IPP,
EPP,Determinate,a. determinate,Determinate,
Life sentence for 2nd listed offence,Life,b. indeterminate,Life,Truncated in some datasets
Restricted Patient (Expiry Date),IPP,b. indeterminate,IPP,Truncated in some datasets
zzzDCR (Juvenile),Determinate,a. determinate,Determinate,
zzzDCR (Deportation),Determinate,a. determinate,Determinate,
zzzDCR (<15),Determinate,a. determinate,Determinate,
EDS (non parole),Determinate,a. determinate,EDS,
Not Applicable,Determinate,a. determinate,Determinate,
SOPC,Determinate,a. determinate,Determinate,
