Recall_Type_Description,targettype,sentencetype,sentencetype2,Included,,,,,,,,
Emergency,emergency,Other,Other Standard,,,,,,,,,
Emergency - HDC Non-Curfew,emergency,Other,Other Standard HDC,,,,,,,,,
Young offender Emergency,emergency,Other,Other Standard,,,,,,,,,
Indeterminate Recall,emergency,Other,ISP,,,,,,,,,
Emergency - Over 12 Months,emergency,Other,Other Standard,,,,,,,,,
Emergency - Under 12 Months,emergency,Under 12 months,Under 12 Standard,,,,,,,,,
Standard,standard,Other,Other Standard,,,,,,,,,
Fixed Term Recall,standard,Other,Under 12 Fixed,,,,,,,,,
HDC Curfew,standard,Other,Other Standard HDC,,,,,,,,,
Standard - HDC Non-Curfew,standard,Other,Other Standard HDC,,,,,,,,,
Young offender HDC Curfew,standard,Other,Other Standard HDC,,,,,,,,,
CJA 91 Act Recall,standard,Other,Other Standard,,,,,,,,,
Young offender standard,standard,Other,Other Standard,,,,,,,,,
Young Offender Fixed term recall,standard,Other,Other Fixed,,,,,,,,,
14 Day Fixed Term Recall - Under 12 Months,standard,Under 12 months,Under 12 Fixed,,,,,,,,,
28 Day Fixed Term Recall - Over 12 Months,standard,Other,Other Fixed,,,,,,,,,
Standard Recall - Over 12 Months,standard,Other,Other Standard,,,,,,,,,
Standard Recall - Under 12 Months,standard,Under 12 months,Under 12 Standard,,,,,,,,,
zzzYoung offender HDC Curfew,standard,Other,Other Standard HDC,,,,,,,,,
14 Day FTR HDC Non-Curfew,standard,Under 12 months,Under 12 Fixed HDC,10/07/2018,,,,,,,,
28 Day FTR HDC Non-Curfew,standard,Other,Other Fixed HDC,10/07/2018,,,,,,,,
Emergency - HDC Non-Curfew - Over 12 Months,emergency,Other,Other Standard HDC,10/07/2018,,,,,,,,
Emergency - HDC Non-Curfew - Under 12 Months,emergency,Under 12 months,Under 12 Standard HDC,10/07/2018,,,,,,,,
Standard - HDC Non-Curfew - Over 12 Months,standard,Other,Other Standard HDC,10/07/2018,,,,,,,,
Standard - HDC Non-Curfew - Under 12 Months,standard,Under 12 months,Under 12 Standard HDC,10/07/2018,,,,,,,,
HDC recall - 255 1 (a) breach of curfew conditions,standard,Other,Other Standard HDC,10/07/2020,,,,,,,,
HDC recall - 255 1 (b) inability to monitor,standard,Other,Other Standard HDC,10/07/2020,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
